
 Version: 2.1
 Chunks: 1
 Start: 2025-12-16 18:00:29 (UTC)
 Duration: 60 s

 Event Type                              Count  Size (bytes) 
=============================================================
 jdk.GCPhaseParallel                      3182         76471
 jdk.NativeMethodSample                   2851         32659
 jdk.ModuleExport                          875          9494
 jdk.ObjectAllocationSample                754         11282
 jdk.BooleanFlag                           505         15365
 jdk.SystemProcess                         426         48829
 jdk.ActiveSetting                         360         10407
 jdk.Checkpoint                            225        715812
 jdk.Deoptimization                        161          3706
 jdk.LongFlag                              161          5220
 jdk.ModuleRequire                         155          1550
 jdk.UnsignedLongFlag                      132          4485
 jdk.JavaErrorThrow                        117          7391
 jdk.ThreadCPULoad                         114          1855
 jdk.TenuringDistribution                   90           945
 jdk.InitialEnvironmentVariable             90          6945
 jdk.OldObjectSample                        65          2151
 jdk.ResidentSetSize                        59          1009
 jdk.CPULoad                                59          1147
 jdk.JavaThreadStatistics                   59           675
 jdk.ClassLoadingStatistics                 59           616
 jdk.CompilerStatistics                     59          1678
 jdk.ExceptionStatistics                    59           793
 jdk.ExecutionSample                        58           648
 jdk.ThreadAllocationStatistics             53           565
 jdk.ThreadStart                            47           544
 jdk.InitialSecurityProperty                47          2587
 jdk.GCPhasePauseLevel1                     38          1510
 jdk.ThreadEnd                              35           322
 jdk.NativeLibrary                          34          2232
 jdk.MetaspaceChunkFreeListSummary          32           576
 jdk.GCReferenceStatistics                  32           332
 jdk.StringFlag                             28           904
 jdk.GCPhasePauseLevel2                     26           865
 jdk.IntFlag                                25           935
 jdk.NetworkUtilization                     19           259
 jdk.GCHeapSummary                          16           613
 jdk.MetaspaceSummary                       16           812
 jdk.G1HeapSummary                          16           381
 jdk.InitialSystemProperty                  15           885
 jdk.DoubleFlag                             15           605
 jdk.UnsignedIntFlag                        14           473
 jdk.GCPhaseConcurrent                      12           546
 jdk.DirectBufferStatistics                 11           274
 jdk.G1MMU                                  10           130
 jdk.GCCPUTime                              10           161
 jdk.GCPhasePause                           10           246
 jdk.GarbageCollection                       8           184
 jdk.GCPhaseConcurrentLevel1                 8           298
 jdk.ClassLoaderStatistics                   7           198
 jdk.ThreadPark                              6           219
 jdk.GCHeapMemoryPoolUsage                   6           228
 jdk.YoungGarbageCollection                  6            78
 jdk.G1GarbageCollection                     6            78
 jdk.EvacuationInformation                   6           154
 jdk.G1EvacuationYoungStatistics             6           164
 jdk.G1EvacuationOldStatistics               6           131
 jdk.G1BasicIHOP                             6           227
 jdk.G1AdaptiveIHOP                          6           234
 jdk.CodeCacheStatistics                     6           195
 jdk.ThreadContextSwitchRate                 5            57
 jdk.SymbolTableStatistics                   5           192
 jdk.StringTableStatistics                   5           182
 jdk.MetaspaceGCThreshold                    4            64
 jdk.MetaspaceAllocationFailure              3            44
 jdk.ExecuteVMOperation                      3            51
 jdk.FinalizerStatistics                     3            51
 jdk.GCHeapMemoryUsage                       2            42
 jdk.OldGarbageCollection                    2            24
 jdk.PhysicalMemory                          2            35
 jdk.ThreadDump                              2         37729
 jdk.GCConfiguration                         2            51
 jdk.Metadata                                1        103226
 jdk.JavaMonitorWait                         1            30
 jdk.JVMInformation                          1           324
 jdk.OSInformation                           1           248
 jdk.VirtualizationInformation               1            35
 jdk.CPUInformation                          1          1729
 jdk.CPUTimeStampCounter                     1            19
 jdk.CompilerConfiguration                   1            10
 jdk.CodeCacheConfiguration                  1            45
 jdk.GCSurvivorConfiguration                 1            10
 jdk.GCTLABConfiguration                     1            12
 jdk.GCHeapConfiguration                     1            26
 jdk.YoungGenerationConfiguration            1            17
 jdk.ActiveRecording                         1            42
 jdk.ThreadSleep                             0             0
 jdk.TLSHandshake                            0             0
