
 Version: 2.1
 Chunks: 1
 Start: 2025-12-16 17:38:08 (UTC)
 Duration: 60 s

 Event Type                              Count  Size (bytes) 
=============================================================
 jdk.NativeMethodSample                   2810         32193
 jdk.GCPhaseParallel                      2536         61086
 jdk.ModuleExport                          871          9423
 jdk.BooleanFlag                           505         15365
 jdk.SystemProcess                         434         50257
 jdk.ObjectAllocationSample                382          5598
 jdk.ActiveSetting                         360         10407
 jdk.LongFlag                              161          5220
 jdk.ModuleRequire                         155          1550
 jdk.Deoptimization                        145          3338
 jdk.Checkpoint                            132        493444
 jdk.UnsignedLongFlag                      132          4485
 jdk.JavaErrorThrow                        103          6623
 jdk.InitialEnvironmentVariable             90          6879
 jdk.TenuringDistribution                   60           630
 jdk.ResidentSetSize                        59           968
 jdk.CPULoad                                59          1147
 jdk.JavaThreadStatistics                   59           675
 jdk.ClassLoadingStatistics                 59           616
 jdk.CompilerStatistics                     59          1678
 jdk.ExceptionStatistics                    59           793
 jdk.InitialSecurityProperty                47          2587
 jdk.ThreadCPULoad                          41           663
 jdk.ThreadAllocationStatistics             38           382
 jdk.NativeLibrary                          34          2233
 jdk.StringFlag                             28           987
 jdk.IntFlag                                25           935
 jdk.GCPhasePauseLevel1                     22           879
 jdk.MetaspaceChunkFreeListSummary          20           360
 jdk.GCReferenceStatistics                  20           208
 jdk.OldObjectSample                        19           637
 jdk.GCPhasePauseLevel2                     15           486
 jdk.InitialSystemProperty                  15          1031
 jdk.DoubleFlag                             15           605
 jdk.ThreadEnd                              14           126
 jdk.NetworkUtilization                     14           180
 jdk.UnsignedIntFlag                        14           473
 jdk.ExecutionSample                        12           130
 jdk.ThreadStart                            11           126
 jdk.DirectBufferStatistics                 11           258
 jdk.GCHeapSummary                          10           385
 jdk.MetaspaceSummary                       10           506
 jdk.G1HeapSummary                          10           237
 jdk.ClassLoaderStatistics                   7           198
 jdk.GCHeapMemoryPoolUsage                   6           228
 jdk.G1MMU                                   6            78
 jdk.GCCPUTime                               6           102
 jdk.GCPhasePause                            6           146
 jdk.GCPhaseConcurrent                       6           272
 jdk.CodeCacheStatistics                     6           195
 jdk.GarbageCollection                       5           115
 jdk.ThreadContextSwitchRate                 5            57
 jdk.SymbolTableStatistics                   5           192
 jdk.StringTableStatistics                   5           182
 jdk.ThreadPark                              4           147
 jdk.YoungGarbageCollection                  4            52
 jdk.G1GarbageCollection                     4            52
 jdk.EvacuationInformation                   4           100
 jdk.G1EvacuationYoungStatistics             4           110
 jdk.G1EvacuationOldStatistics               4            86
 jdk.G1BasicIHOP                             4           150
 jdk.G1AdaptiveIHOP                          4           156
 jdk.GCPhaseConcurrentLevel1                 4           148
 jdk.ExecuteVMOperation                      3            51
 jdk.GCHeapMemoryUsage                       2            42
 jdk.MetaspaceGCThreshold                    2            32
 jdk.PhysicalMemory                          2            35
 jdk.ThreadDump                              2         23402
 jdk.GCConfiguration                         2            51
 jdk.FinalizerStatistics                     2            34
 jdk.Metadata                                1        103226
 jdk.JavaMonitorWait                         1            30
 jdk.MetaspaceAllocationFailure              1            15
 jdk.OldGarbageCollection                    1            12
 jdk.JVMInformation                          1           471
 jdk.OSInformation                           1           248
 jdk.VirtualizationInformation               1            35
 jdk.CPUInformation                          1          1729
 jdk.CPUTimeStampCounter                     1            19
 jdk.CompilerConfiguration                   1            10
 jdk.CodeCacheConfiguration                  1            45
 jdk.GCSurvivorConfiguration                 1            10
 jdk.GCTLABConfiguration                     1            12
 jdk.GCHeapConfiguration                     1            26
 jdk.YoungGenerationConfiguration            1            17
 jdk.ActiveRecording                         1            42
 jdk.ThreadSleep                             0             0
 jdk.TLSHandshake                            0             0
 jdk.ContainerCPUUsage                       0             0
 jdk.VirtualThreadStart                      0             0
 jdk.ContainerCPUThrottling                  0             0
 jdk.VirtualThreadEnd                        0             0
 jdk.ContainerMemoryUsage                    0             0
 jdk.ContainerIOUsage                        0             0
 jdk.VirtualThreadPinned                     0             0
 jdk.JavaMonitorEnter                        0             0
 jdk.VirtualThreadSubmitFailed               0             0
 jdk.JavaMonitorInflate                      0             0
 jdk.X509Certificate                         0             0
 jdk.SyncOnValueBasedClass                   0             0
 jdk.ContinuationFreeze                      0             0
 jdk.X509Validation                          0             0
 jdk.ContinuationThaw                        0             0
 jdk.ContinuationFreezeFast                  0             0
 jdk.ContinuationFreezeSlow                  0             0
 jdk.ContinuationThawFast                    0             0
 jdk.ContinuationThawSlow                    0             0
 jdk.ReservedStackActivation                 0             0
 jdk.ClassLoad                               0             0
 jdk.ClassDefine                             0             0
 jdk.ClassRedefinition                       0             0
 jdk.RedefineClasses                         0             0
 jdk.RetransformClasses                      0             0
 jdk.ClassUnload                             0             0
 jdk.IntFlagChanged                          0             0
 jdk.UnsignedIntFlagChanged                  0             0
 jdk.LongFlagChanged                         0             0
 jdk.UnsignedLongFlagChanged                 0             0
 jdk.DoubleFlagChanged                       0             0
 jdk.BooleanFlagChanged                      0             0
 jdk.StringFlagChanged                       0             0
 jdk.MetaspaceOOM                            0             0
 jdk.PSHeapSummary                           0             0
 jdk.SystemGC                                0             0
 jdk.ParallelOldGarbageCollection            0             0
 jdk.ObjectCountAfterGC                      0             0
 jdk.PromoteObjectInNewPLAB                  0             0
 jdk.PromoteObjectOutsidePLAB                0             0
 jdk.PromotionFailed                         0             0
 jdk.EvacuationFailed                        0             0
 jdk.ConcurrentModeFailure                   0             0
 jdk.GCPhasePauseLevel3                      0             0
 jdk.GCPhasePauseLevel4                      0             0
 jdk.GCPhaseConcurrentLevel2                 0             0
 jdk.AllocationRequiringGC                   0             0
 jdk.G1HeapRegionTypeChange                  0             0
 jdk.JITRestart                              0             0
 jdk.Compilation                             0             0
 jdk.CompilerPhase                           0             0
 jdk.CompilationFailure                      0             0
 jdk.CompilerInlining                        0             0
 jdk.CodeCacheFull                           0             0
 jdk.SafepointBegin                          0             0
 jdk.SafepointStateSynchronization           0             0
 jdk.SafepointCleanup                        0             0
 jdk.SafepointCleanupTask                    0             0
 jdk.SafepointEnd                            0             0
 jdk.Shutdown                                0             0
 jdk.ObjectAllocationInNewTLAB               0             0
 jdk.ObjectAllocationOutsideTLAB             0             0
 jdk.NativeMemoryUsage                       0             0
 jdk.NativeMemoryUsageTotal                  0             0
